Applicant_ID,Utilization_Ratio,Debt_to_Income,Checking_Account_Status,Loan_Duration,Age,Credit_History_Score,Loan_Purpose,Default_Status
1,0.6576,0.1734,0.0,48.0,42.0,0.0,E-Commerce,0.0
2,0.17,0.2837,0.0,12.0,57.0,0.0,E-Commerce,0.0
3,0.1144,0.488,0.0,48.0,51.0,0.0,E-Commerce,0.0
4,0.5322,0.3447,0.0,12.0,46.0,0.0,Individual,0.0
5,0.3799,0.1187,0.0,48.0,37.0,0.0,E-Commerce,0.0
6,0.6496,0.1799,0.0,36.0,24.0,1.0,MSME,0.0
7,0.2194,0.126,0.0,48.0,46.0,1.0,E-Commerce,0.0
8,0.3698,0.1064,0.0,24.0,41.0,0.0,MSME,0.0
9,0.527,0.4333,0.0,36.0,35.0,0.0,E-Commerce,0.0
10,0.5638,0.2247,0.0,24.0,25.0,0.0,MSME,0.0
11,0.6896,0.2799,0.0,24.0,57.0,0.0,E-Commerce,0.0
12,0.1619,0.1784,0.0,12.0,42.0,0.0,E-Commerce,0.0
13,0.4778,0.3347,0.0,12.0,50.0,1.0,MSME,0.0
14,0.1109,0.2694,0.0,12.0,29.0,0.0,Individual,0.0
15,0.2392,0.3845,0.0,36.0,54.0,0.0,E-Commerce,0.0
16,0.3509,0.1463,0.0,36.0,30.0,0.0,MSME,0.0
17,0.1668,0.2483,0.0,24.0,45.0,0.0,MSME,0.0
18,0.721,0.2889,1.0,12.0,35.0,1.0,MSME,0.0
19,0.4929,0.4084,0.0,36.0,48.0,0.0,Individual,0.0
20,0.1776,0.2757,0.0,36.0,53.0,0.0,E-Commerce,0.0
21,0.456,0.463,0.0,36.0,36.0,1.0,Individual,0.0
22,0.1539,0.2159,0.0,24.0,49.0,1.0,Individual,0.0
23,0.3069,0.1422,0.0,48.0,49.0,0.0,Individual,0.0
24,0.7183,0.2297,1.0,36.0,49.0,0.0,MSME,0.0
25,0.177,0.1912,0.0,24.0,34.0,1.0,MSME,0.0
26,0.2153,0.3136,0.0,24.0,58.0,0.0,E-Commerce,0.0
27,0.3363,0.4772,0.0,24.0,53.0,0.0,MSME,0.0
28,0.3827,0.126,0.0,24.0,33.0,0.0,Individual,0.0
29,0.5986,0.1592,0.0,48.0,38.0,0.0,MSME,0.0
30,0.4519,0.1206,0.0,12.0,53.0,1.0,MSME,0.0
31,0.5765,0.3124,0.0,24.0,53.0,0.0,E-Commerce,0.0
32,0.5705,0.4046,0.0,36.0,38.0,1.0,E-Commerce,0.0
33,0.5426,0.3534,0.0,36.0,37.0,1.0,Individual,0.0
34,0.2306,0.1163,0.0,48.0,57.0,0.0,E-Commerce,0.0
35,0.6667,0.2395,0.0,36.0,54.0,0.0,E-Commerce,0.0
36,0.7557,0.155,1.0,48.0,46.0,0.0,E-Commerce,0.0
37,0.7141,0.2032,1.0,48.0,37.0,1.0,E-Commerce,0.0
38,0.4616,0.2043,0.0,12.0,33.0,0.0,Individual,0.0
39,0.2321,0.2115,0.0,36.0,37.0,1.0,E-Commerce,0.0
40,0.6459,0.3568,0.0,36.0,29.0,1.0,MSME,0.0
41,0.1064,0.1406,0.0,36.0,46.0,0.0,MSME,0.0
42,0.4841,0.3768,0.0,48.0,57.0,1.0,MSME,0.0
43,0.4457,0.1715,0.0,48.0,29.0,1.0,Individual,0.0
44,0.3156,0.317,0.0,36.0,43.0,0.0,Individual,0.0
45,0.5129,0.4916,0.0,36.0,29.0,0.0,MSME,0.0
46,0.3451,0.358,0.0,36.0,54.0,0.0,MSME,0.0
47,0.4494,0.3288,0.0,48.0,38.0,1.0,Individual,0.0
48,0.7678,0.4659,1.0,36.0,58.0,1.0,MSME,0.0
49,0.4869,0.3289,0.0,48.0,54.0,0.0,Individual,0.0
50,0.3696,0.4405,0.0,48.0,24.0,0.0,Individual,0.0
51,0.3763,0.4377,0.0,36.0,45.0,0.0,Individual,0.0
52,0.793,0.156,1.0,36.0,23.0,0.0,E-Commerce,0.0
53,0.1956,0.3836,0.0,36.0,50.0,0.0,Individual,0.0
54,0.6671,0.4468,0.0,12.0,28.0,0.0,MSME,0.0
55,0.236,0.1284,0.0,24.0,37.0,0.0,Individual,0.0
56,0.3366,0.2502,0.0,24.0,53.0,0.0,E-Commerce,0.0
57,0.3297,0.162,0.0,24.0,43.0,0.0,MSME,0.0
58,0.2752,0.1155,0.0,36.0,58.0,0.0,MSME,0.0
59,0.2901,0.4861,0.0,36.0,25.0,1.0,Individual,0.0
60,0.4784,0.355,0.0,48.0,37.0,1.0,MSME,0.0
61,0.3261,0.4181,0.0,36.0,40.0,0.0,MSME,0.0
62,0.2756,0.1737,0.0,24.0,44.0,0.0,E-Commerce,0.0
63,0.1407,0.4661,0.0,36.0,55.0,0.0,Individual,0.0
64,0.6002,0.3641,0.0,12.0,22.0,1.0,MSME,0.0
65,0.56,0.2743,0.0,12.0,24.0,0.0,E-Commerce,0.0
66,0.6305,0.1058,0.0,24.0,49.0,0.0,E-Commerce,0.0
67,0.318,0.4918,0.0,12.0,33.0,0.0,Individual,0.0
68,0.4441,0.2894,0.0,12.0,51.0,0.0,MSME,0.0
69,0.5311,0.354,0.0,24.0,52.0,0.0,MSME,0.0
70,0.4522,0.4426,0.0,12.0,25.0,0.0,E-Commerce,0.0
71,0.761,0.4469,1.0,48.0,48.0,1.0,E-Commerce,0.0
72,0.5014,0.1514,0.0,12.0,58.0,0.0,MSME,0.0
73,0.7728,0.4621,1.0,48.0,50.0,0.0,Individual,0.0
74,0.3641,0.1156,0.0,24.0,56.0,0.0,E-Commerce,0.0
75,0.3233,0.438,0.0,24.0,55.0,0.0,MSME,0.0
76,0.1827,0.3787,0.0,12.0,32.0,1.0,E-Commerce,0.0
77,0.6624,0.2128,0.0,24.0,58.0,1.0,Individual,0.0
78,0.7934,0.265,1.0,24.0,53.0,0.0,E-Commerce,0.0
79,0.4933,0.1954,0.0,36.0,34.0,1.0,MSME,0.0
80,0.1722,0.461,0.0,24.0,41.0,1.0,E-Commerce,0.0
81,0.3083,0.14,0.0,48.0,33.0,1.0,MSME,0.0
82,0.1639,0.2277,0.0,24.0,52.0,1.0,E-Commerce,0.0
83,0.4451,0.1333,0.0,12.0,56.0,0.0,E-Commerce,0.0
84,0.2489,0.4785,0.0,48.0,35.0,0.0,E-Commerce,0.0
85,0.6159,0.3184,0.0,36.0,39.0,1.0,Individual,0.0
86,0.6331,0.3473,0.0,12.0,59.0,0.0,Individual,0.0
87,0.2558,0.2587,0.0,36.0,23.0,0.0,Individual,0.0
88,0.2633,0.3325,0.0,12.0,22.0,1.0,Individual,0.0
89,0.7631,0.4944,1.0,48.0,57.0,0.0,Individual,0.0
90,0.4372,0.2512,0.0,36.0,48.0,0.0,E-Commerce,0.0
91,0.1778,0.2971,0.0,12.0,49.0,0.0,E-Commerce,0.0
92,0.676,0.3977,0.0,36.0,34.0,0.0,Individual,0.0
93,0.3624,0.2143,0.0,48.0,54.0,0.0,Individual,0.0
94,0.6615,0.4912,0.0,12.0,42.0,0.0,MSME,0.0
95,0.7951,0.1295,1.0,36.0,40.0,1.0,Individual,0.0
96,0.2164,0.1867,0.0,36.0,52.0,1.0,MSME,0.0
97,0.509,0.4605,0.0,12.0,32.0,0.0,MSME,0.0
98,0.419,0.3481,0.0,48.0,49.0,0.0,MSME,0.0
99,0.2606,0.2064,0.0,12.0,57.0,1.0,MSME,0.0
100,0.1226,0.2119,0.0,12.0,41.0,0.0,MSME,0.0
101,0.1932,0.1305,0.0,24.0,39.0,0.0,Individual,0.0
102,0.5294,0.2673,0.0,48.0,51.0,1.0,Individual,0.0
103,0.2154,0.2645,0.0,24.0,22.0,0.0,Individual,0.0
104,0.2053,0.3377,0.0,36.0,46.0,1.0,E-Commerce,0.0
105,0.4984,0.1254,0.0,12.0,56.0,0.0,E-Commerce,0.0
106,0.1395,0.4459,0.0,12.0,26.0,1.0,Individual,0.0
107,0.7392,0.3341,1.0,12.0,58.0,1.0,MSME,0.0
108,0.2731,0.2802,0.0,24.0,22.0,1.0,E-Commerce,0.0
109,0.2451,0.4513,0.0,48.0,53.0,0.0,Individual,0.0
110,0.1795,0.3686,0.0,24.0,24.0,0.0,E-Commerce,0.0
111,0.4863,0.3244,0.0,24.0,38.0,0.0,Individual,0.0
112,0.3944,0.4139,0.0,24.0,23.0,1.0,E-Commerce,0.0
113,0.1955,0.1058,0.0,24.0,55.0,0.0,E-Commerce,0.0
114,0.4062,0.4617,0.0,48.0,59.0,0.0,E-Commerce,0.0
115,0.3776,0.3488,0.0,36.0,38.0,1.0,E-Commerce,0.0
116,0.7486,0.2968,1.0,48.0,41.0,0.0,MSME,0.0
117,0.5346,0.239,0.0,24.0,32.0,0.0,MSME,0.0
118,0.4221,0.3339,0.0,36.0,37.0,0.0,Individual,0.0
